@relation i2p

@attribute avg_payload_len numeric
@attribute max_payload_len numeric
@attribute fragment_ratio numeric
@attribute entopy_len numeric
@attribute variance numeric
@attribute seq_exist numeric
@attribute isI2P {yes,no}

@data
602,1460,0,2.409267,534.516838,1,yes
1053.987097,2144,0.855914,1.459532,754.411204,1,yes
600,1448,0,2.245099,539.738208,1,yes
588,1448,0,2.170951,532.924405,1,yes
1793.652822,8688,0.195856,2.382122,1392.748886,0,yes
1037.346734,1448,0.839196,1.510642,750.663801,1,yes
592,1412,0,2.036569,539.512302,1,yes
588,1452,0,2.5,517.637711,1,yes
852,2920,0,2.5,884.811091,1,yes
1081.72549,2144,0.598039,2.03377,787.585463,1,yes
994.133333,1448,0.7,1.819219,738.573765,1,yes
992,1460,0.706897,1.868107,730.362659,1,yes
594,1448,0,2.409267,526.722175,1,yes
977.043478,1448,0.782609,1.709234,721.017563,1,yes
967.619048,1460,0.761905,1.752634,710.367831,1,yes
1082.302158,2896,0.776978,1.660181,789.983595,1,yes
588,1452,0,2.324409,526.404005,1,yes
1040.069565,1440,0.895652,1.363856,745.487145,1,yes
592,1460,0,2.324409,530.292705,1,yes
592,1412,0,2.324409,526.402217,1,yes
1004.689655,1448,0.637931,1.982965,743.877593,1,yes
965.463415,1448,0.756098,1.771938,716.531684,1,yes
588,1460,0,2.5,518.428394,1,yes
1016.086022,1448,0.741935,1.72978,741.744235,1,yes
507.428571,992,0,2.216917,442.047924,1,yes
1021.333333,1440,0.850877,1.513808,736.02375,1,yes
955.428571,1448,0.714286,1.877108,712.338917,1,yes
977.021277,1448,0.744681,1.78714,722.884607,1,yes
600,1448,0,2.409267,531.725493,1,yes
1015.384615,1448,0.661538,1.913883,756.310791,1,yes
985.962264,1448,0.773585,1.721108,725.734563,1,yes
1167.408115,4344,0.671838,1.861822,895.554194,1,yes
856,2920,0,2.409267,884.73951,1,yes
856,2896,0,2.409267,882.090698,1,yes
858,2896,0,2.324409,881.635112,1,yes
760.888889,2800,0,2.272808,804.722241,1,yes
953.333333,1056,0.833333,1.525292,710.276744,1,yes
1048.962963,2144,0.944444,1.24395,752.985753,1,yes
1027.5,1440,0.859375,1.470538,740.825248,1,yes
588,1440,0,2.070951,532.336261,1,yes
1031.146667,1436,0.92,1.320958,736.595239,1,yes
486.857143,848,0,1.795643,439.014428,1,yes
1024.842105,1448,0.921053,1.330828,738.430326,1,yes
588,1448,0,2.170951,532.924405,1,yes
588,1448,0,2.170951,532.924405,1,yes
614,1448,0,2.409267,544.266709,1,yes
1082.791579,2896,0.756842,1.657254,781.668536,1,yes
588,1440,0,2.213298,525.400016,1,yes
588,1448,0,1.97559,540.765115,1,yes
1039.210762,1448,0.90583,1.349706,746.219527,1,yes
1033.958042,1448,0.853147,1.492348,745.606372,1,yes
1021.963636,1460,0.927273,1.297101,733.339743,1,yes
592,1448,0,2.324409,529.274754,1,yes
594,1460,0,2.036569,544.299287,1,yes
1046.782609,1448,0.829193,1.512339,747.117286,1,yes
588,1428,0,2.5,515.35774,1,yes
592,1460,0,2.5,521.513694,1,yes
696.727273,1452,0,2.215695,607.326587,1,yes
608,1408,0,2.319241,527.629854,1,yes
592,1440,0,2.139836,532.332394,1,yes
594,1398,0,2.409267,522.540668,1,yes
594,1448,0,2.409267,526.722175,1,yes
592,1448,0,2.324409,529.274754,1,yes
592,1440,0,2.29162,524.396796,1,yes
588,1348,0,2.170951,526.445879,1,yes
1040.468619,1460,0.924686,1.296032,739.180933,1,yes
588,1440,0,2.139836,529.072144,1,yes
1058.557823,1448,0.717687,1.741454,748.756483,1,yes
592,1440,0,2.29162,524.396796,1,yes
1055.326316,1448,0.642105,1.936926,762.990892,1,yes
574.222222,1440,0,1.923856,521.404119,1,yes
1163.193347,2896,0.638254,1.849431,835.523438,0,yes
1062.276923,1448,0.707692,1.660056,780.410191,0,yes
588,1448,0,2.409267,521.951147,1,yes
960.820513,1440,0.74359,1.740319,714.614977,1,yes
1011.707317,1448,0.768293,1.721611,738.280808,1,yes
984.615385,1448,0.730769,1.786786,733.032486,1,yes
592,1440,0,2.213298,528.612835,1,yes
823,1056,0.625,1.902818,651.595757,1,yes
877.333333,1452,0.633333,1.879641,695.791166,1,yes
1011.934426,1460,0.52459,1.786436,819.95118,1,yes
1035.220779,1448,0.558442,2.116054,743.205735,1,yes
807.466667,1056,0.6,1.936994,643.710334,1,yes
970.046512,1448,0.72093,1.809624,730.510987,1,yes
1004,1448,0.666667,1.804188,746.31605,1,yes
936,1452,0.75,1.761253,698.454007,1,yes
949.942857,1448,0.771429,1.72018,707.837506,1,yes
602,1448,0,1.97559,552.984465,1,yes
588,1460,0,2.5,518.428394,1,yes
594,1460,0,2.101569,541.694563,1,yes
901.333333,1460,0.666667,2.240475,551.582874,1,yes
594,1448,0,2.409267,526.722175,1,yes
1058.93578,2144,0.784404,1.632568,773.846944,1,yes
561.6,1448,0,2.432009,505.936022,1,yes
588,1440,0,2.070951,532.336261,1,yes
558.222222,1440,0,2.219241,500.293393,1,yes
592,1448,0,2.245099,532.953198,1,yes
598,1448,0,2.245099,538.008468,1,yes
982.981818,1448,0.654545,1.943528,728.803436,1,yes
1022.4,1448,0.6,1.908989,753.330214,1,yes
588,1440,0,2.213298,525.400016,1,yes
592,1448,0,2.409267,525.105704,1,yes
1026.782609,1448,0.728261,1.787471,753.339502,1,yes
594,1448,0,2.324409,530.915746,1,yes
658,1460,0,2.324409,591.442106,1,yes
596,1460,0,2.409267,529.447826,1,yes
588,1448,0,2.324409,526.065977,1,yes
1060.222222,1448,0.645833,1.89141,774.430684,1,yes
1077.781513,1448,0.613445,1.878373,791.918617,1,yes
1040.161616,1439,0.575758,2.056464,732.733705,1,yes
592,1440,0,2.213298,528.612835,1,yes
475.428571,768,0,2.216917,406.115965,1,yes
982.309859,1440,0.661972,1.895763,726.094702,1,yes
620,1288,0,2.245099,548.701092,1,yes
